species,bio1_mean_temp,bio12_precip,bio4_temp_seasonality,bio15_precip_seasonality,bio5_max_temp,bio6_min_temp,ndvi_mean,alan_nightlight,elevation,raw_edge_density,raw_entropy,raw_luminance,raw_contrast,raw_saturation
Stenoloba manleyi,18.269034022727272,2733.7272727272725,456.5267318181819,44.481679840909095,27.30909090909091,8.997727272727273,0.8099261365909091,2.0586290375000003,679.0454545454545,0.2858552038681214,7.269811500155325,116.3026936151857,43.469943967215166,100.23406155595075
Stibaera thyatiroides,15.110943042105262,540.3789473684211,644.7179881052632,77.31664668947369,31.547894736842107,-0.20473684210526316,0.34830658331578945,0.19708655231578948,1592.5263157894738,0.3098262004420772,7.29376315410022,123.26628626997223,51.829511875527764,85.3240043575083
Stilbia andalusiaca,13.791346461538463,586.0384615384615,599.3303130769231,43.31562603846154,29.765384615384615,2.0538461538461537,0.5096442353846153,8.02465581,597.4230769230769,0.19007922084714884,6.623095524739325,89.11790478607077,33.731255755928665,82.15419963505086
Stilbia anomala,8.931886967768596,1291.4214876033059,496.41380363636364,32.01536481818182,20.296694214876034,-0.16776859504132235,0.6075351257851239,4.609455618181818,285.77685950413223,0.28519481711014016,7.261477076719455,113.15724630166721,49.80628796635894,66.95345608069303
Stilbia philopalis,13.268229375,487.625,596.57823625,31.965244374999997,29.0875,1.4625,0.5048437475,1.78614173625,551.875,0.26759260626441606,7.287021071336109,116.00514787960695,45.216482552531716,95.10452284087744
Stiria blanchardi,16.412191481481482,356.6666666666667,717.5184059259259,72.90869303703704,32.82962962962963,-0.8740740740740741,0.18839814777777775,0.17280301481481483,1350.1851851851852,0.18649040440878592,6.830949102983989,161.72358421091283,44.74794181919834,113.17093243748424
Stiria consuela,20.161632083333334,236.45833333333334,721.09581875,60.37045095833333,38.84166666666667,3.8208333333333333,0.20558333166666667,6.650378283333333,575.75,0.18618727891261022,7.0317441612191365,172.83586979384492,43.48152638546509,70.43254105776637
Stiria dyari,17.6312964,304.22222222222223,586.4837436666667,77.01585952222221,34.92111111111111,3.283333333333333,0.24758333255555556,12.037260962222222,741.0111111111111,0.22577381674974262,7.1136144932763035,157.6871820733112,45.611055760255134,99.15657361222011
Stiria intermixta,18.008898152542372,577.2881355932203,654.5713779661017,62.89214683050848,33.4864406779661,1.9508474576271186,0.3841949181355932,2.119245813898305,924.6610169491526,0.21758175526007925,6.95930152983881,153.38400150720523,44.92173422827069,106.86471709230574
Stiria rugifrons,13.494865072887324,685.1091549295775,849.1824507746479,51.5824616443662,32.261267605633805,-4.959859154929577,0.4237095068309859,8.36290472447183,878.2852112676056,0.21026366033996038,7.0373173357754,137.93143041386065,48.1469715110543,112.2588934994535
Stiria sulphurea,16.144565260869566,519.695652173913,653.427602173913,76.96169839130435,32.721739130434784,0.4608695652173913,0.32503260913043475,0.021517428260869564,1453.304347826087,0.18775547719492094,7.102137815880091,154.42638791066747,41.19209753504609,82.73195219974772
Stretchia inferior,14.443103586206897,541.6896551724138,525.8709079310345,85.07737144827585,29.375862068965517,2.5827586206896553,0.5425345075862069,1.2636870655172414,1010.4827586206897,0.18020569317220161,6.746277859888002,114.72824437246283,43.87795348361285,47.74044895487514
Stretchia muricina,6.4509965,689.945652173913,822.3703713043478,41.968533521739126,26.152173913043477,-9.36195652173913,0.46402716956521745,1.9818861673913044,1019.9130434782609,0.29252228510611383,7.096469232321055,121.34212843936885,48.557583423609366,89.11233408548829
Stretchia plusiaeformis,4.878063709558823,525.4411764705883,967.0215635294119,41.77040120588236,25.716176470588238,-14.166176470588235,0.3894227986764706,4.456942094264706,1291.6617647058824,0.2967084782560359,7.074954022030069,134.19028472702993,46.79466394696759,81.72349217383234
Striacosta albicosta,7.464252849310346,899.1206896551724,981.7433366896553,26.407031358275862,26.73896551724138,-11.628620689655174,0.4901327592068966,7.82449453837931,449.50344827586207,0.2595850808648042,7.333627198877203,104.53596010143764,48.22434498375095,80.55694873050598
Strotihypera flavipuncta,12.384051896551723,1759.0,808.0346813793103,49.571331931034486,27.551724137931036,-3.0,0.6446896565517242,4.10749310862069,500.41379310344826,0.29554550289853426,7.275324101308813,127.80300445571646,47.639826881124385,90.45689697965906
Strotihypera macroplaga,21.901065922480623,2025.0,451.933666124031,77.93732720155039,30.621705426356588,11.346511627906978,0.7288875972868216,8.067515632403103,287.7829457364341,0.2527363220375078,7.231959451364733,137.9542610798598,45.05238744133188,78.88036646383557
Stylopoda cephalica,15.021944866666667,393.9,507.885763,87.6506109,32.59,1.6066666666666667,0.45264998933333334,7.800587513333334,423.8,0.16843710372299198,6.569317588274088,95.55034249536156,53.7706274907432,132.83114748554217
Subleuconycta calonesiota,13.554629703703704,2805.6666666666665,361.80761333333334,62.858833000000004,20.73333333333333,4.785185185185185,0.8426574051851852,0.39935865777777774,1837.7777777777778,0.3114035788904527,7.229179242138548,153.09199360995115,43.65345034176549,53.119629514540435
Subleuconycta sugii,17.449444444444445,2401.733333333333,392.49003022222223,63.479890777777776,25.293333333333333,8.45111111111111,0.7987611113333333,1.073065656888889,1034.2,0.30054634830226723,7.163388049087395,147.78008572105452,40.69307372545177,51.52063054699748
Sugitania lepida,14.320039666666668,1800.8095238095239,829.6642928571429,31.78177464285714,30.509523809523813,-0.7047619047619048,0.5807143019047619,8.674329807619047,137.42857142857142,0.258268912007397,7.33000794759363,142.7247281832137,49.72711853942925,65.05858880849583
Sunira circellaris,8.702540583739838,763.8780487804878,708.9327414634146,26.298951752032522,23.51382113821138,-3.744715447154472,0.5571280498373984,7.116554443902439,214.85365853658536,0.23533375890191205,6.977195181049792,138.8360320013139,37.169402661179866,115.27352972386649
Supralathosea baboquivariensis,19.384881171428574,519.7142857142857,715.8430537142857,48.87110417142857,34.885714285714286,1.9514285714285713,0.33928571314285716,0.9914663114285714,577.7714285714286,0.3062503262305218,7.364508450450699,130.4362699204284,45.51885949703924,49.405028584045155
Sutyna privata,5.44678576122449,999.6612244897959,1045.7822821632653,18.077490324081634,25.47061224489796,-14.963265306122448,0.5799867378775511,1.0854406345306122,291.25714285714287,0.33095485622458826,7.451206939659203,120.29538714090954,51.02150712091909,53.930829237739026
Sympistis acheron,4.771236603064517,826.8387096774194,729.5806367741935,51.48570138709677,24.23225806451613,-9.135483870967741,0.4288467719354839,0.04141029677419355,1557.5483870967741,0.3058678193723108,7.2682999017437435,137.6359156746015,41.21250890416786,79.45248043107077
Sympistis albifasciata,4.734329697043479,517.8695652173913,807.5984834782608,35.09976141304348,25.61086956521739,-11.536956521739132,0.34026630304347827,0.26411304782608697,1988.391304347826,0.2540537915553179,7.5478035675384145,123.41814203746688,56.795844649198195,83.64132503990857
Sympistis anweileri,4.454761874761904,429.0238095238095,870.2221457142857,34.00675119047619,25.345238095238095,-12.08095238095238,0.4452380978571429,0.6239019499999999,1465.9285714285713,0.31892995952647646,7.376808514860171,112.18852341817932,48.89421105915583,60.486629215564605
Sympistis apis,17.954812394366197,553.3098591549295,775.3449525352112,46.270151267605634,34.77042253521127,-0.3619718309859155,0.37380632830985916,1.2939955380281691,626.9295774647887,0.3203988561186774,7.370296889420284,114.75166480852131,48.7326400384495,72.5868032247977
